178,,,
"Question 1",21647726,"Out of 1",
,0,0,
,"hiA",0,
,"i",0,
,"i+1",0,
,"loA",1,
,"loB",0,
,,,
"Question 2",21647727,"Out of 1",
,"|A|-i",0,
,"A.Count-1",0,
,"hiA",0,
,"hiA-1",0,
,"i",0,
,"i--",0,"  --i would work, but not this"
,"i - 1",1,
,"i+1",0,
,"i-1",1,
,,,
"Question 3",21647728,"Out of 1",
,0,0,
,"hiB",0,
,"j",0,
,"j+1",0,
,"loB",1,
,"loB+j+1",0,
,,,
"Question 4",21647729,"Out of 1",
,"B[j-1]",0,
,"hiB",1,
,"j",0,
,"j - 1",0,
,"j -1",0,
,"j+1",0,
,"j-1",0,
,"loB",0,
,,,
"Question 5",21647730,"Out of 1",
,0,0,
,"hiB",0,
,"i",0,
,"i+1",0,
,"loA",1,
,"loA+i+1",0,
,"loB",0,
,,,
"Question 6",21647731,"Out of 1",
,"A[i-1]",0,
,"hiA",1,
,"i",0,
,"i*2",0,
,"j",0,
,,,
"Question 7",21647732,"Out of 1",
,0,0,
,"hiA",0,
,"j",0,
,"j + 1",1,
,"j++",0,"  ++j would work, but not this"
,"j+1",1,
,"loB",0,
,"loB+1",0,
,,,
"Question 8",21647733,"Out of 1",
,"|B|-1",0,
,"B.Count-1",0,
,"hiB",1,
,"i",0,
,"j*2",0,
,"j-1",0,
,"jiB",1,"typo?"
,,,
"Question 9",21647734,"Out of 1",
,0,0,
,"i",0,
,"i+1",0,
,"j-1",0,
,"loA",1,
,,,
"Question 10",21647735,"Out of 1",
,"A[i-1]",0,
,"hiA",1,
,"hiA-i-1",0,
,"i",0,
,"I",0,
,"i*2",0,
,"i+1",0,
,"i-1",0,
,"loB",0,
,,,
"Question 11",21647736,"Out of 1",
,0,0,
,"j",0,
,"j+1",0,
,"j-1",0,
,"loA",0,
,"loB",1,
,,,
"Question 12",21647737,"Out of 1",
,"B[j-1]",0,
,"hiA",0,
,"hiB",0,
,"hiB-1",0,
,"j",0,
,"j--",0,"  --j would work, but not this"
,"j - 1",1,
,"j*2",0,
,"j-1",1,
,,,
"Question 13",21647738,"Out of 1",
,0,0,
,"i",0,
,"i + 1",1,
,"i++",0,
,"i+1",1,
,"i+2",0,
,"j+1",0,
,"loA",0,
,"loA+1",0,
,,,
"Question 14",21647739,"Out of 1",
,"|A|-1",0,
,"A.Count-1",0,
,"hiA",1,
,"hiB",0,
,"i",0,
,"i+1",0,
,"i-1",0,
,,,
"Question 15",21647740,"Out of 1",
,"A[i-1]",0,
,"j",0,
,"j+1",0,
,"loB",1,
,,,
"Question 16",21647741,"Out of 1",
,"B.Count-1",0,
,"hiA",0,
,"hiB",1,
,"hiB-j-1",0,
,"j",0,
,"j-1",0,
